index,food_name,WWEIA Category description,WWEIA Category number,Energy (kcal),Is_vegeterian,Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)",is_breakfast,is_lunch_dinner,Cost_CAD,carbon_footprint_gCO2,water_footprint_liters,is_lunch,,Protein (g)
11,Barbecue beef,Meat mixed dishes,3002,228,0,19.83,12.23,9.97,0.3,10.79,4.138,4.925,0.431,67,3,6,0,40,1,1365,26,0.054,0.167,2.704,0.226,0,5,5,5,70.3,1.95,0,0.2,0.1,0.32,0,1.6,17,150,18,2.1,5.61,0.093,19.6,259,596,0,0,0,54.65,0,1,6,6181,3430,,,19.83
12,Barbecue beef sandwich,Meat and BBQ sandwiches,3742,242.5,0,16.75,24.08,8.725,1.4,8.51,3.019,3.517,0.845,44,2,4,0,27,0,910,29.5,0.1925,0.1965,3.313,0.188,11.5,20,39,31.5,52.85,1.335,0,0.4,0.1,0.315,0,2.8,62,144,25.5,2.495,4.085,0.112,22.2,225,553,0,0,0,48.315,0,1,4,6572.5,3647.5,,,16.75
13,Barbecue chicken,Poultry mixed dishes,3004,167,0,19,12.23,9.97,0.3,4.64,1.119,1.919,0.686,79,6,9,0,40,1,1365,26,0.056,0.144,5.498,0.195,0,6,6,7,48.6,0.26,0,0.2,0,0.53,0,0.5,20,172,20,0.7,1.18,0.066,17.2,265,550,0,0,0,62.62,0,1,6,1194,678,,,19
14,Barbecue chicken sandwich,Meat and BBQ sandwiches,3742,201.5,0,16.195,24.08,8.725,1.4,4.41,1.0065,1.513,1.015,52,4,6,0,27,0,910,29.5,0.194,0.181,5.176,0.167,11.5,21,40,32.5,38.35,0.205,0,0.4,0,0.455,0,2.1,64,159,26.5,1.565,1.135,0.094,20.6,228,522,0,0,0,53.63,0,1,4,1435.5,816,,,16.195
15,Barbecue meat,Meat mixed dishes,3002,226,0,18.14,12.23,9.97,0.3,11.17,4.02,4.934,1.394,65,2,6,0,40,1,1365,26,0.263,0.233,3.198,0.28,0,3,3,3,72.7,0.92,0,0.2,0.6,0.36,0,0.8,23,158,19,1.36,3.51,0.101,23.9,289,601,0,0,0,55.89,0,1,6,703,462,,,18.14
16,Barbecue pork,Meat mixed dishes,3002,226,0,17.57,12.23,9.97,0.3,11.3,3.981,4.937,1.715,64,2,5,0,40,1,1365,26,0.333,0.255,3.363,0.298,0,2,2,2,73.5,0.58,0,0.2,0.8,0.37,0,0.5,25,161,20,1.12,2.81,0.104,25.3,299,603,0,0,0,56.3,0,1,6,2737,1366,,,17.57
17,Barbecue pork sandwich,Meat and BBQ sandwiches,3742,240.5,0,15.245,24.08,8.725,1.4,8.845,2.9145,3.525,1.701,43,1,4,0,27,0,910,29.5,0.3785,0.255,3.7525,0.236,11.5,18,37,29.5,55,0.42,0,0.4,0.5,0.35,0,2.1,67.5,152,26.5,1.845,2.215,0.1195,26,251,558,0,0,0,49.415,0,1,4,2911,1453,,,15.245
18,Barbecue rib sandwich,Meat and BBQ sandwiches,3742,223,0,13.66,26.5,9.05,0.9,6.47,2.183,2.586,1.201,37,0,2,0,26,0,842,26,0.403,0.267,3.121,0.217,20,17,50,36,47.3,0.41,0,0.9,0.4,0.29,0,2.7,72,123,20,2.09,2.24,0.107,27,215,466,0,0,0,51.09,0,1,4,694,456,,,13.66
19,Barbecue sandwich,Meat and BBQ sandwiches,3742,238,0,15.34,24.86,9.07,0.8,8.12,2.664,3.238,1.506,44,2,4,0,27,0,910,20,0.347,0.249,3.783,0.202,18,16,46,34,51,0.56,0,0.6,0.4,0.35,0,2.1,63,141,21,1.94,2.23,0.101,24.5,233,561,0,0,0,49.45,0,1,4,739,486,,,15.34
20,Bean cake,"Bean, pea, legume dishes",3102,414,1,5.8,49.88,20.37,3,21.41,2.842,8.834,8.176,0,0,0,0,0,0,0,5,0.268,0.139,1.967,0.051,29,41,90,70,12,0,0,0.3,0,3.97,0,23.4,15,74,21,2.58,0.53,0.12,5.1,160,186,0,0,0,21.96,0,1,5.36,1267,838,,,5.8
22,Beans and brown rice,"Bean, pea, legume dishes",3102,162,1,6.4,24.29,0.28,3.9,4.54,0.652,1.813,1.718,0,0,0,0,0,0,0,0,0.098,0.037,0.917,0.07,0,45,45,45,22.5,0,0,0,0,1.35,0,6,53,102,51,2.23,1.02,0.198,2.7,345,213,0,0,0,63.05,0,1,5.73,430,253,,,6.4
23,Beans and rice,"Bean, pea, legume dishes",3102,161.3333333,1,6.16,23.28333333,0.42,3.933333333,4.896666667,0.731,2.001666667,1.823333333,2,0.333333333,1.666666667,0,16,0.333333333,865.3333333,1.333333333,0.147666667,0.04,0.905,0.122333333,21.66666667,61,98,82.66666667,20.16666667,0.043333333,0,0.6,0,1.373333333,0,6.2,33.66666667,87.66666667,33.33333333,1.856666667,0.89,0.151,5.6,261.3333333,290.3333333,0,0,0,64.05666667,0,1,10,428.3333333,252,,,6.16
24,Beans and white rice,"Bean, pea, legume dishes",3102,164,1,6.5,25.19,0.21,3.7,4.21,0.603,1.706,1.614,0,0,0,0,0,0,0,0,0.127,0.03,0.661,0.086,22,44,81,66,20.4,0,0,0,0,1.28,0,5.9,54,80,40,2.55,0.96,0.188,3.7,327,231,0,0,0,62.38,0,1,6.75,435,256,,,6.5
26,Beef and noodles,Meat mixed dishes,3002,189,0,11.37,16.24,0.26,0.8,8.41,2.689,3.584,0.976,48,19,20,0,12,0,0,24,0.202,0.146,3.015,0.15,50,8,92,57,43.3,0.95,0,0,0.1,0.32,0,2.3,16,113,20,1.76,2.47,0.09,22.5,125,377,0,0,0,62.6,0,1,6,5128,2845,,,11.37
43,Beef burgundy,Meat mixed dishes,3002,148,0,18.48,4.19,1.45,0.8,6,1.77,2.487,0.933,52,0,1,0,15,0,193,11,0.065,0.212,4.454,0.238,1,16,18,17,70.6,1.27,0,2,0.1,0.62,0,6.1,20,184,23,1.84,4.52,0.143,22.8,368,369,0,0,0,69.91,0,1,6,4021,2230,,,18.48
47,Beef rolls,Meat mixed dishes,3002,195,0,20.56,6.61,1.23,0.7,9.08,3.373,3.845,0.432,56,1,92,362,910,0,1133,42,0.151,0.197,3.779,0.311,8,13,26,21,78.5,2.04,0,1.6,0.2,0.39,0,4.5,13,195,24,2.21,3.12,0.105,21.8,380,351,0,0,0,60.88,0,1,6,5290,2935,,,20.56
48,Beef salad,Meat mixed dishes,3002,261,0,17.85,2.9,2.1,0.4,19.32,3.85,5.098,9.436,61,3,12,7,92,18,0,82,0.042,0.128,2.636,0.182,0,15,15,15,75.5,1.3,0,0.8,0.1,1,0,46.1,20,118,15,1.58,4.27,0.07,18.4,206,338,0,0,0,58.87,0,1,6,7072,3925,,,17.85
49,Beef shish kabob with vegetables,Meat mixed dishes,3002,122,0,14.8,5.06,2.37,0.8,4.88,1.659,2.04,0.491,41,0,10,2,110,27,0,33,0.058,0.136,2.931,0.271,0,17,17,17,57.7,0.78,0,15,0,0.46,0,5.5,14,113,16,1.31,2.5,0.098,16.3,238,208,0,0,0,74.15,0,1,6,3319,1840,,,14.8
50,Beef steak with onions,Meat mixed dishes,3002,321,0,20.92,3.89,1.55,0.7,24.12,6.257,8.499,6.936,62,0,0,0,1,0,0,3,0.087,0.163,3.022,0.334,0,12,12,12,79.3,2.24,0,2.2,0.2,2.95,0,2.4,17,191,23,2.01,3.3,0.096,19.8,352,999,0,0,0,46.26,0,1,6,8692,4825,,,20.92
51,Beef stew with potatoes,Meat mixed dishes,3002,220,0,14.57,6.53,0.93,1,14.85,4.209,6.932,2.174,42,0,5,4,52,1,1288,30,0.07,0.134,2.677,0.273,0,10,10,10,56.8,1.38,0,9.2,0.1,1.53,0,8.2,16,156,25,1.74,2.29,0.11,13.3,403,572,0,0,0,60.83,0,1,6,5965,3310,,,14.57
52,Beef stroganoff,Meat mixed dishes,3002,150,0,10.06,6.21,1.36,0.7,9.33,3.441,2.836,1.944,35,32,32,0,0,0,0,3,0.058,0.095,3.045,0.144,3,8,12,11,41.4,0.36,0,0.6,0.1,0.8,0,8.4,40,119,15,0.94,1.83,0.068,12.3,210,458,0,0,0,72.64,0,1,6,4075,2260,,,10.06
54,Beef taco filling: beef,Burritos and tacos,3502,181,0,12.97,6.37,4.06,0.9,11.32,5.26,3.836,0.405,44,51,69,21,207,0,3668,49,0.054,0.154,2.255,0.206,0,15,15,15,34.1,1.07,0,6.6,0.1,0.75,0,5.8,130,160,17,1.12,2.65,0.077,11.7,273,473,0,0,0,65.94,0,1,4,4912,2725,,,12.97
55,Beef wellington,Meat mixed dishes,3002,368,0,19.16,10.25,0.12,0.4,27.43,9.564,11.471,2.961,83,15,15,0,8,0,0,6,0.163,0.33,3.367,0.251,12,20,40,32,78.6,2.1,0,0.6,0.3,1.05,0,6.8,9,170,21,3.41,3.32,0.143,21.4,274,182,0,0,0,41.96,0,1,6,9961,5530,,,19.16
56,Beef with cream or white sauce,Meat mixed dishes,3002,185,0,22.5,2.75,1.38,0,9.31,3.773,3.437,0.664,70,40,41,0,12,0,0,0,0.077,0.159,3.871,0.333,2,8,11,9,86.5,1.32,0,0,0.4,0.54,0,2.5,41,166,18,1.86,3.75,0.055,22.9,222,340,0,0,0,63.94,0,1,6,5020,2785,,,22.5
57,Beef with gravy,Meat mixed dishes,3002,156,0,21.56,1.58,0.09,0,7.05,2.568,2.977,0.377,64,0,0,0,0,0,0,0,0.056,0.129,3.816,0.288,0,8,8,8,82.4,1.19,0,0,0.1,0.33,0,1.2,8,140,15,1.79,3.64,0.057,22.2,188,360,0,0,0,68.42,0,1,6,4237,2350,,,21.56
58,Beef with mushroom sauce,Meat mixed dishes,3002,163,0,21.97,1.83,0.56,0.1,7.54,2.695,2.961,0.84,64,6,6,0,0,0,0,1,0.055,0.13,3.814,0.288,0,7,7,7,84.6,1.22,0,0,0.2,0.4,0,5,20,149,16,1.8,3.69,0.056,22.9,204,355,0,0,0,67.22,0,1,6,4426,2455,,,21.97
60,Beef with tomato-based sauce,Meat mixed dishes,3002,149,0,21.72,1.58,1.06,0.4,6.36,2.391,2.686,0.292,63,0,6,0,73,1,3940,7,0.056,0.132,4.014,0.308,0,9,9,9,84,1.19,0,2,0.1,0.73,0,1.9,9,142,18,2.05,3.69,0.086,22.3,264,363,0,0,0,68.76,0,1,6,4048,2245,,,21.72
61,Beef with vegetable,Meat mixed dishes,3002,125,0,10.64,4.69,2.81,0.8,6.95,2.63,3.111,0.224,34,1,114,472,1115,1,1726,134,0.049,0.129,2.394,0.23,1,9,10,9,38.7,1.09,0,10.2,0,0.5,0,4.3,34,108,17,1.32,2.44,0.069,9.1,281,292,0,0,0,76.29,0,1,6,3400,1885,,,10.64
64,Bibimbap,Rice mixed dishes,3202,76,0,5.5,8.11,1.52,1.1,2.44,0.49,0.898,0.781,10,1,113,243,1230,7,0,1537,0.073,0.114,1.758,0.207,10,27,44,37,18.7,0.26,0,10.5,0,0.52,0,95.4,25,68,28,0.93,0.92,0.076,5,244,435,0,0,0,82.2,0,1,3,253,162,,,5.5
65,Big Mac,Burgers,3702,261,0,11.94,21.53,3.26,1.4,14.1,5.045,5.088,3.826,36,22,27,1,59,2,0,50,0.184,0.201,3.63,0.17,18,9,40,27,31.5,1.27,0,0.3,0.1,0.06,0,16.4,127,136,25,1.4,2.16,0.131,25.9,182,485,0,0,0,50.54,0,1,6,808,532,,,11.94
66,Biryani with chicken,Rice mixed dishes,3202,104,0,7.15,13.55,1.88,1.1,2.38,0.907,0.773,0.254,25,13,19,3,74,5,310,51,0.073,0.079,2.213,0.177,11,11,30,23,20.2,0.12,0,6.2,0.1,0.3,0,5.5,34,93,19,0.84,0.63,0.072,6.8,256,161,0,0,0,75.91,0,1,4,753,426,,,7.15
67,Biryani with meat,Rice mixed dishes,3202,145,0,8.5,12.19,1.69,1,6.79,2.969,2.649,0.48,29,10,16,2,66,5,279,46,0.061,0.08,1.763,0.136,10,11,28,21,29.8,0.47,0,5.6,0.1,0.23,0,6.2,33,76,17,1.12,1.45,0.077,9.2,229,98,0,0,0,71.54,0,1,4,460,300,,,8.5
68,Biryani with vegetables,Rice mixed dishes,3202,109,0,1.93,17.91,1.18,1.2,3.2,1.705,0.676,0.152,9,27,64,138,371,1,195,131,0.103,0.024,0.981,0.071,24,8,49,32,5.2,0,0,4.1,0,0.12,0,2.9,17,35,11,1.04,0.32,0.069,2.9,102,177,0,0,0,76.14,0,1,3,297.5,173.5,,,1.93
69,Biscayne codfish,Seafood mixed dishes,3006,190,0,9.2,11.06,1.85,1.9,12.24,1.901,8.186,1.261,19,4,12,8,92,1,1639,44,0.07,0.06,1.444,0.262,0,13,13,13,38,0.34,0,11.8,0.4,3.02,0,5.4,23,107,27,0.87,0.38,0.102,13.4,408,300,0,0,0,65.86,0,1,6,1545,960,,,9.2
72,Biscuit with gravy,Egg/breakfast sandwiches,3706,224,0,6.2,16.98,3.88,0.8,14.68,6.314,4.491,2.596,16,70,73,0,34,0,0,0,0.181,0.2,1.923,0.058,14,11,35,25,14.7,0.3,0,0,0.2,0.74,0,6.2,80,206,12,1.01,0.66,0.05,8.4,152,451,0,0,0,60.34,1,0,4,921,570,,,6.2
73,Black bean salad,"Bean, pea, legume dishes",3102,94,1,3.08,12.61,3.53,3.4,3.85,0.567,1.011,1.927,0,0,7,17,78,4,412,141,0.076,0.068,0.545,0.065,0,35,35,35,14.3,0,0,4.4,0,0.71,0,11.4,20,60,20,0.9,0.32,0.097,1,211,350,0,0,0,79.14,0,1,3,260,151,,,3.08
74,Black beans and brown rice,"Bean, pea, legume dishes",3102,158,1,5.91,23.52,0.27,5.3,4.65,0.679,1.822,1.762,0,0,0,0,0,0,0,0,0.164,0.044,1.11,0.057,0,81,81,81,21.1,0,0,0,0,1.31,0,5.8,17,117,55,1.34,0.88,0.154,2.7,230,211,0,0,0,64.53,0,1,4,420,247,,,5.91
75,Black beans and rice,"Bean, pea, legume dishes",3102,182,1,5.82,23.66,0.19,4.9,7.09,0.999,2.894,2.723,0,0,0,0,0,0,0,0,0.188,0.035,0.828,0.071,21,78,114,99,18.4,0,0,0,0,1.76,0,8.5,19,92,42,1.61,0.79,0.14,3.5,205,296,0,0,0,61.88,0,1,4,480,283,,,5.82
76,Black beans and white rice,"Bean, pea, legume dishes",3102,160,1,6.01,24.42,0.2,5,4.32,0.63,1.715,1.658,0,0,0,0,0,0,0,0,0.194,0.036,0.854,0.073,22,80,117,102,19,0,0,0,0,1.24,0,5.8,19,95,44,1.65,0.82,0.144,3.7,212,228,0,0,0,63.86,0,1,4,425,250,,,6.01
77,Bologna sandwich on wheat,Deli and cured meat sandwiches,3740,278.5,0,11.615,24.89,3.575,2.6,14.675,4.8905,5.3795,2.875,47.5,20,20.5,0,7,0.5,0,32,0.2125,0.2005,3.761,0.1685,6.5,32,43.5,39,38.25,0.33,0,0.1,0.65,0.48,0,3.6,202,218,35.5,2.095,1.355,0.1095,21.3,244.5,778,0,0,0,45.715,0,1,4,860.5,567,,,11.615
78,Bologna sandwich on white,Deli and cured meat sandwiches,3740,280.5,0,10.675,26.695,3.64,1.1,14.49,4.9385,5.4105,3.02,47.5,20,20.5,0,6,0.5,0,22.5,0.265,0.213,3.7025,0.1365,41,16,86,57.5,35.1,0.33,0,0,0.65,0.425,0,1.05,225.5,193,21.5,2.195,1.13,0.077,19.25,210,782.5,0,0,0,45.12,0,1,4,866.5,571,,,10.675
80,Breakfast link,Soy and meat-alternative products,2806,255,1,20.28,8.09,0,2.8,18.16,2.926,4.498,9.279,0,0,0,0,0,0,0,0,2.343,0.402,11.195,0.828,0,26,26,26,69.7,0,0,0,0,2.1,0,0,63,225,36,3.72,1.46,0.25,7.4,231,888,0,0,0,50.4,1,0,6.92,790,520,0,,20.28
81,Breakfast pizza with egg,Egg/breakfast sandwiches,3706,292,0,14.02,25.63,2.86,1.1,14.5,4.98,6.055,1.851,83,79,79,0,0,2,0,99,0.271,0.323,2.74,0.1,33,57,82,59,54,0.4,0,0,0.5,1.5,0,3.2,236,226,23,2.11,1.62,0.074,22.2,132,594,0,0,0,43.41,1,0,4,901,594,,,14.02
82,Broccoli casserole with noodles,Vegetable dishes,3104,112,1,3.55,15.86,1.34,1.9,3.77,1.731,0.787,0.385,16,26,31,0,50,0,0,395,0.158,0.125,1.234,0.113,20,33,68,53,19.2,0.04,0,42.1,0.1,0.18,0,55.9,41,71,20,1.07,0.51,0.075,9.5,191,186,0,0,0,75.73,0,1,3,305,178,,,3.55
83,Broccoli casserole with rice,Vegetable dishes,3104,107,1,4.14,15.06,1.2,1.9,3.6,1.665,0.776,0.563,8,24,50,9,300,1,0,542,0.12,0.085,1.006,0.101,19,31,63,49,11.4,0.05,0,19.8,0.2,0.76,0,46.2,72,74,14,0.91,0.52,0.053,5.2,103,188,0,0,0,76.09,0,1,3,292.5,170.5,,,4.14
86,Bruschetta,Vegetable sandwiches/burgers,3744,171,0,4.29,21.32,3.34,1.5,7.61,1.227,4.603,1.175,0,0,26,57,275,0,1451,126,0.206,0.138,2.129,0.095,26,43,63,45,9.8,0,0,7.9,0,1.76,0,10.2,50,52,17,1.58,0.42,0.086,6.8,187,264,0,0,0,65.58,0,1,3,538,352,,,4.29
89,Burrito,Burritos and tacos,3502,228.9047619,0,10.8452381,27.52190476,1.781428571,2.39047619,8.08952381,3.297142857,2.375809524,1.36747619,22.71428571,12.38095238,12.38095238,0,0,0,0,4.238095238,0.29047619,0.199333333,3.179285714,0.143333333,40.66666667,17.33333333,86.38095238,58,25.22380952,0.362380952,0,0.095238095,0.052380952,0.102380952,0,4.047619048,110.2857143,175,23.76190476,2.349047619,1.451428571,0.094333333,17.89047619,174.8095238,469,0,0,0,51.55904762,0,1,4,711.7142857,467.8095238,,,10.8452381
93,Cake made with glutinous rice,Rice mixed dishes,3202,279,1,2.49,53.57,31.12,0.7,6.51,5.48,0.379,0.17,0,0,0,0,0,0,0,0,0.023,0.006,0.52,0.017,0,5,5,5,2.9,0,0,0.3,0,0.07,0,0,23,55,16,0.52,0.49,0.124,3.2,85,36,0,0,0,36.92,0,1,3,722.5,428.5,,,2.49
94,Cake made with glutinous rice and dried beans,Rice mixed dishes,3202,185,1,7.76,36.09,1.47,3.4,0.6,0.075,0.121,0.155,0,0,0,0,2,0,0,0,0.084,0.045,0.713,0.09,0,33,33,33,5.6,0,0,0,0,0.11,0,0.5,34,81,37,0.93,1.03,0.21,12.3,241,942,0,0,0,52.44,0,1,3,487.5,287.5,,,7.76
95,Calzone,Pizza,3602,366,0,16.215,30.4,0.475,1.35,20.1,7.6355,6.811,3.33,52,146,150,0,39.5,0,0,23.5,0.4375,0.3785,3.199,0.098,33.5,44.5,101.5,78,25.55,0.49,0,0,0.3,1.37,0,9.3,283.5,261,24,2.38,2.16,0.0855,20.1,152,553,0,0,0,30.72,0,1,5,1123,742,,,16.215
96,Cannelloni,"Pasta mixed dishes, excludes macaroni and cheese",3204,157,0,6.31,18.36,0.75,1.1,6.51,2.622,2.48,0.573,44,49,118,0,831,3,0,1833,0.178,0.239,1.312,0.109,18,30,60,48,32,0.28,0,5.8,0.2,1.09,0,115.9,99,100,35,1.51,0.57,0.056,7.4,225,618,0,0,0,66.43,0,1,4,496,324,,,6.31
102,Ceviche,Seafood mixed dishes,3006,63,0,10.53,3.58,1.34,0.5,0.76,0.159,0.132,0.249,18,16,22,11,68,6,205,55,0.038,0.013,0.296,0.248,0,11,11,11,35.3,1.5,0,18.6,5.1,0.76,0,1.7,22,107,20,0.16,0.23,0.03,19.1,282,149,0,0,0,84.03,0,1,6,214,136,,,10.53
103,Channa Saag,Vegetable dishes,3104,89,1,4.1,8.79,1.81,3,4.33,0.553,1.552,1.636,0,0,221,6,2640,17,0,5595,0.079,0.154,0.514,0.201,0,92,92,92,23.7,0,0,16,0,2.32,0,363.5,66,69,81,1.58,0.66,0.137,0.9,429,270,0,0,0,80.98,0,1,3,292,188,,,4.1
104,Cheese sandwich,Cheese sandwiches,3720,292.4285714,1,13.81714286,30.78714286,4.92,2.171428571,12.65857143,6.511857143,2.845714286,1.400285714,33.42857143,109.8571429,112.8571429,0,33.85714286,2.571428571,0,37.57142857,0.287,0.302428571,2.881428571,0.104714286,32.57142857,29.71428571,85.14285714,62.57142857,21.31428571,0.518571429,0,0.042857143,1.842857143,0.424285714,0,2.585714286,444.2857143,344.5714286,35.42857143,2.097142857,1.764285714,0.102428571,22.8,171.4285714,732.5714286,0,0,0,39.16571429,0,1,2,902.2857142,594.8571428,,,13.81714286
105,Cheese souffle,Eggs and omelets,2502,207,1,9.43,6.38,2.44,0.1,16.01,8.267,3.815,0.965,157,189,190,0,15,4,0,145,0.071,0.267,0.331,0.044,4,19,27,24,85.7,0.41,0,0,1.4,0.44,0,1.1,189,181,14,0.76,1.19,0.013,15.1,131,314,0,0,0,66.58,1,0,2,646,424,,,9.43
106,Cheese steak sandwich or sub on wheat,Meat and BBQ sandwiches,3742,268,0,19.22,19.9,2.71,2.2,12.2,5.535,3.783,1.097,49,53,54,0,16,1,0,30,0.198,0.259,4.659,0.337,6,29,40,35,43.3,1.09,0,0,0.7,0.38,0,3.4,249,268,37,2.43,3.14,0.114,27.2,233,523,0,0,0,46.25,0,1,4,829,546,,,19.22
107,Cheese steak sandwich or sub on white,Meat and BBQ sandwiches,3742,270,0,18.39,21.48,2.77,1,12.03,5.577,3.81,1.224,49,53,54,0,15,1,0,22,0.244,0.27,4.607,0.309,36,16,77,52,40.5,1.09,0,0,0.7,0.33,0,1.2,269,246,25,2.52,2.94,0.086,25.3,203,527,0,0,0,45.73,0,1,4,835,550,,,18.39
